id,question,gold_answer,model_answer,semantic_similarity,bert_score,rouge_l_f1,eval_time_sec
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Renewal Term_0,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.","If Distributor                            complies with all of the terms of this Agreement, the                            Agreement  shall be  renewable on an annual basis for                            one (1) year terms for up to  another  ten (10) years                            on the same terms and conditions as set forth herein.","The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term is 10 years.
The renewal term",0.4916355609893799,0.7039870023727417,0.04878048530636538,57.737204790115356
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Notice Period To Terminate Renewal_0,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",,,1.0,1.0,1.0,0.13538074493408203
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Governing Law_0,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?",This Agreement is to be construed according to the laws          of the State of Illinois.,,0.0,0.0,0.0,0.13808631896972656
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Most Favored Nation_0,"Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",,,1.0,1.0,1.0,0.13514947891235352
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Non-Compete_0,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?",,,1.0,1.0,1.0,0.13313889503479004
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Exclusivity_0,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","The Company appoints the Distributor as an  exclusive  distributor  of Products in the Market,  subject to the terms and conditions of this Agreement.",,0.0,0.0,0.0,0.13767600059509277
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Exclusivity_1,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement.",,0.0,0.0,0.0,0.13919591903686523
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Exclusivity_2,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",The  Distributor  shall  not order or                   purchase Products from any source other than the Company.,,0.0,0.0,0.0,0.14016413688659668
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__No-Solicit Of Customers_0,"Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","Term of the  Agreement  and for a period of  eighteen





                           (18) months thereafter,  nor will Distributor solicit                            any  customer  or  potential  customer  of Company to                            purchase a competitive product during that period.","The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the",0.4944470524787903,0.6935218572616577,0.21276595255771855,59.595879793167114
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__No-Solicit Of Customers_1,"Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","Distributor further agrees that it will not interfere                            with or  otherwise  disrupt  the  business  relations                            between the Company or nay of its  affiliates and any                            of their current or prospective customers,  suppliers                            or distributors, during the","The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both).
The contract does not restrict the Distributor from soliciting customers or partners of the",0.559231698513031,0.6863486170768738,0.23999999520000007,59.634448289871216
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Competitive Restriction Exception_0,"Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",,"The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Competitive Restriction Exception"" that should be reviewed by a lawyer.
The answer to the question is ""Compet",0.0,0.0,0.0,59.02750515937805
